description,imgUrl,clusters
kksb rock pi case radxa rock pi enclosure,https://m.media-amazon.com/images/I/71NCOx7xv3L._AC_UL320_.jpg,5
shaver charger finishing touch flawless body rechargeable lady shaver power cord  replacement charger usb woman trimmer charging cable,https://m.media-amazon.com/images/I/51Y0lckPooS._AC_UL320_.jpg,0
 flap disc      grit flap sanding disc  grinding wheel abrasive grinding disc standard  angle grinder,https://m.media-amazon.com/images/I/71tBM+nCPVL._AC_UL320_.jpg,7
eurow microfiber ultrasonic cut cleaning drying towel  gsm   inch  pack,https://m.media-amazon.com/images/I/91-MtgS6TFL._AC_UL320_.jpg,4
harper bright design full size bed frame kid wood full bed house shaped headboard footboard bench full size platform bed girl boy box spring needed white,https://m.media-amazon.com/images/I/815MeBHDcIL._AC_UL320_.jpg,3
hide drink waxed canvas large wrench tool roll  pocket portable pouch storage craftsman handmade,https://m.media-amazon.com/images/I/51arpK7lZgL._AC_UL320_.jpg,5
nickelodeon paw patrol born brave folding potty seat travel potty training seat,https://m.media-amazon.com/images/I/71x1vd0kVaL._AC_UL320_.jpg,5
shapewear woman tummy control panty high waist body shaper thigh slimmer short,https://m.media-amazon.com/images/I/6170tRQfiDL._AC_UL320_.jpg,3
shoofly horse leggins patented loose fitting fly boot prevent fly bite reduce stomping stress fatigue breathable plastic mesh blue yearling,https://m.media-amazon.com/images/I/61d+uMqc6NL._AC_UL320_.jpg,5
butyl tape waterproof aluminum butyl rubber tape  x   outdoor hatch cover flashing permanent waterproof leak proof repair tape pipe metal rv awning roof leak window seal boat,https://m.media-amazon.com/images/I/61+DZ9Sh1xL._AC_UL320_.jpg,4
naoedeah automatic water level control float valve water tank pool water leveler auto fill controller farm stock tank   upper   side water intake narrow edge clamp,https://m.media-amazon.com/images/I/713URclHpCL._AC_UL320_.jpg,2
netgear nighthawk  smart wi fi router   tri band wireless speed  mbps  sq ft coverage  device   ethernet  usb port,https://m.media-amazon.com/images/I/51nVMwPmWBL._AC_UL320_.jpg,0
